Username,Text,Bot,hasCyrillicUsername,usernameEntropy,hasFemaleNameInUsername,hasEmojis,endsWithEmojis,wordCount,isShortComment,hasFlaggedEmoji,flaggedEmojiCount,isDuplicateComment,hasCommonBotPhrases,commonBotPhrasesCount,hasTimeStamp,exclamationCount,punctuationClusters
Julius NM,"Huh, anyway check out this you[tube] channel: kobyoshi02",1,0,0.8888888888888888,1,0,0,8,0,0,0,0,0,0,0,0,0
adam riyati,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,0,0.7272727272727273,1,0,0,30,0,0,0,0,0,0,0,7,2
Evgeny Murashkin,just for test I have to say murdev.com,1,0,0.9375,1,0,0,8,0,0,0,0,0,0,0,0,0
ElNino Melendez,me shaking my sexy ass on my channel enjoy ^_^ ﻿,1,0,0.7333333333333333,1,0,0,11,0,0,0,0,0,0,0,0,0
GsMega,watch?v=vtaRGgvGtWQ   Check this out .﻿,1,0,1.0,1,0,0,5,0,0,0,0,0,0,0,0,0
Jason Haddad,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,0,0.6666666666666666,0,0,0,15,0,0,0,0,0,0,0,2,1
ferleck ferles,Subscribe to my channel ﻿,1,0,0.5714285714285714,0,0,0,5,0,0,0,0,0,0,0,0,0
Bob Kanowski,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0,0,0.9166666666666666,0,0,0,18,0,0,0,0,0,0,0,0,0
Cony,You should check my channel for Funny VIDEOS!!﻿,1,0,1.0,0,0,0,8,0,0,0,0,0,0,0,2,1
BeBe Burkey,and u should.d check my channel and tell me what I should do next!﻿,1,0,0.6363636363636364,1,0,0,14,0,0,0,0,0,0,0,1,0
Huckyduck,Hey subscribe to me﻿,1,0,0.6666666666666666,0,0,0,4,1,0,0,0,0,0,0,0,0
Lone Twistt, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1,0,0.9090909090909091,0,0,0,35,0,0,0,0,0,0,0,0,0
Archie Lewis,https://twitter.com/GBphotographyGB﻿,1,0,0.8333333333333334,0,0,0,1,1,0,0,0,0,0,0,0,0
TheUploadaddict,subscribe like comment﻿,1,0,0.8,1,0,0,3,1,0,0,0,0,0,0,0,0
Francisco Nora,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1,0,0.7142857142857143,1,0,0,4,1,0,0,0,0,0,0,0,0
